INFO	?	main	2017-04-19T10:28:29.635Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:32.509Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:36.406Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:38.550Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:43.708Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:44.741Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:50.649Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:53.305Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:55.921Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:28:58.469Z	org.javacs.JavaLanguageServer#doLint	Lint [/root/Source/java/struts/struts-project/src/main/java/com/example/struts2/model/Users.java]
INFO	?	main	2017-04-19T10:29:06.514Z	org.javacs.Main#run	Connection closed
